"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2524","Navigation from login page to registration page","LMS system","Wed May 27 13:02:58 UTC 2026","passed","Wed May 27 13:03:00 UTC 2026","Authorization","Authentication","",""
"","1027","Check displaying of empty courses list","LMS system","Wed May 27 13:03:02 UTC 2026","passed","Wed May 27 13:03:03 UTC 2026","Courses","Courses","",""
"","1702","Check displaying of dashboard page","LMS system","Wed May 27 13:03:03 UTC 2026","passed","Wed May 27 13:03:05 UTC 2026","Dashboard","Dashboard","",""
"","1300","User login with wrong email or password","LMS system","Wed May 27 13:02:55 UTC 2026","passed","Wed May 27 13:02:56 UTC 2026","Authorization","Authentication","",""
"","3275","Create course","LMS system","Wed May 27 13:03:01 UTC 2026","passed","Wed May 27 13:03:04 UTC 2026","Courses","Courses","",""
"","807","Registration with correct email, username and password","LMS system","Wed May 27 13:02:59 UTC 2026","passed","Wed May 27 13:03:00 UTC 2026","Registration","Authentication","",""
"","2361","User login with correct email and password","LMS system","Wed May 27 13:02:56 UTC 2026","passed","Wed May 27 13:02:59 UTC 2026","Authorization","Authentication","",""
"","1112","User login with wrong email or password","LMS system","Wed May 27 13:02:56 UTC 2026","passed","Wed May 27 13:02:58 UTC 2026","Authorization","Authentication","",""
"","1287","User login with wrong email or password","LMS system","Wed May 27 13:02:55 UTC 2026","passed","Wed May 27 13:02:56 UTC 2026","Authorization","Authentication","",""
"","2846","Edit course","LMS system","Wed May 27 13:03:06 UTC 2026","passed","Wed May 27 13:03:08 UTC 2026","Courses","Courses","",""
